,FLAT_v2_started_FLAT_v2_won,FLAT_v3_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v3_started_Tie,FLAT_v2_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,,11.0
1,,,,,,27.0
2,,,,,,11.0
3,,,,,,15.0
4,,,,,14.0,
5,,,,,,11.0
6,,,,,12.0,
7,,18.0,,,,
8,,,,,,11.0
9,,,,,12.0,
10,,,,,,11.0
11,,,,,,29.0
12,,,,,12.0,
13,,,,,10.0,
14,,18.0,,,,
15,13.0,,,,,
16,11.0,,,,,
17,13.0,,,,,
18,,,,,12.0,
19,,,,,12.0,
20,,,,,12.0,
21,11.0,,,,,
22,,,,,12.0,
23,,36.0,,,,
24,11.0,,,,,
25,,24.0,,,,
26,11.0,,,,,
27,,,,,,11.0
28,,,,,,19.0
29,,,,,,11.0
30,,,,,,9.0
31,,,,,12.0,
32,,,,,,25.0
33,,,,,12.0,
34,,,,,12.0,
35,,,,,14.0,
36,,,,,14.0,
37,,,,,12.0,
38,,,,,,23.0
39,,,,,,11.0
40,15.0,,,,,
41,,,,,,11.0
42,,,,,14.0,
43,,,,,12.0,
44,,,,,16.0,
45,,,,,14.0,
46,,,,,20.0,
47,,18.0,,,,
48,,22.0,,,,
49,,,,,12.0,
