,FLAT_v3_started_FLAT_v3_won,FLAT_v4_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v4_started_Tie,FLAT_v3_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,14.0,
1,,,,,,15.0
2,,16.0,,,,
3,,,,,,13.0
4,,18.0,,,,
5,,28.0,,,,
6,,,,,,21.0
7,15.0,,,,,
8,21.0,,,,,
9,13.0,,,,,
10,,,,,,15.0
11,25.0,,,,,
12,,,,,38.0,
13,,,,,,13.0
14,11.0,,,,,
15,39.0,,,,,
16,11.0,,,,,
17,,,,,20.0,
18,13.0,,,,,
19,,,,,,13.0
20,25.0,,,,,
21,,,,,20.0,
22,,,,,,17.0
23,,,,,,9.0
24,15.0,,,,,
25,,18.0,,,,
26,,22.0,,,,
27,,,,,,31.0
28,17.0,,,,,
29,,,,,14.0,
30,,,,,,13.0
31,,,,,16.0,
32,,18.0,,,,
33,,,,,30.0,
34,,10.0,,,,
35,,,,,,11.0
36,15.0,,,,,
37,,,,,32.0,
38,,,,,,35.0
39,,,,,,11.0
40,,,,,20.0,
41,,,,,,19.0
42,23.0,,,,,
43,,,,,,15.0
44,13.0,,,,,
45,,,,,,13.0
46,,,,,,15.0
47,,,,,,15.0
48,,,,,,17.0
49,,14.0,,,,
