,FLAT_v2_started_FLAT_v2_won,FLAT_v5_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v5_started_Tie,FLAT_v2_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,18.0,,,,
1,,,,,,11.0
2,17.0,,,,,
3,15.0,,,,,
4,,,,,,9.0
5,,,,,,13.0
6,,,,,,9.0
7,21.0,,,,,
8,,,,,12.0,
9,,,,,12.0,
10,,,,,,13.0
11,,,,,,9.0
12,,,,,14.0,
13,,,,,,13.0
14,,,,,,15.0
15,,,,,10.0,
16,,,,,16.0,
17,13.0,,,,,
18,,12.0,,,,
19,,,,,12.0,
20,,,,,,13.0
21,,,,,16.0,
22,,,,,12.0,
23,11.0,,,,,
24,,,,,18.0,
25,9.0,,,,,
26,,,,,14.0,
27,,,,,14.0,
28,,,,,10.0,
29,,,,,,11.0
30,,,,,,9.0
31,,10.0,,,,
32,,,,,,11.0
33,9.0,,,,,
34,,,,,,9.0
35,,,,,,11.0
36,,,,,,11.0
37,,,,,,13.0
38,,,,,18.0,
39,,,,,14.0,
40,,,,,,9.0
41,,,,,14.0,
42,,,,,,19.0
43,,,,,,9.0
44,,12.0,,,,
45,,,,,14.0,
46,,,,,,11.0
47,13.0,,,,,
48,,,,,,15.0
49,,,,,,9.0
