,ZERO_v2_started_ZERO_v2_won,UCT_4500_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_4500_started_Tie,ZERO_v2_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,9.0,,,,,
1,,,,,26.0,
2,13.0,,,,,
3,,,,,14.0,
4,,,,,12.0,
5,,,,,,23.0
6,,,,,12.0,
7,,,,,,15.0
8,,,,,,19.0
9,,,,,16.0,
10,17.0,,,,,
11,,,,,10.0,
12,,,,,26.0,
13,,,,,,39.0
14,15.0,,,,,
15,13.0,,,,,
16,,,,,,33.0
17,,,,,14.0,
18,,,,,10.0,
19,15.0,,,,,
20,,,,,16.0,
21,,,,,,13.0
22,,10.0,,,,
23,,,,,10.0,
24,,,,,,19.0
25,,,,,14.0,
26,,,,,,27.0
27,,,,,,27.0
28,,10.0,,,,
29,31.0,,,,,
30,,,,,28.0,
31,,,,,22.0,
32,,,,,,21.0
33,,,,,18.0,
34,,,,,,41.0
35,,,,,14.0,
36,,24.0,,,,
37,,,,64.0,,
38,,,,,22.0,
39,,,,,,15.0
40,,,,,,15.0
41,,,,,10.0,
42,,,,,12.0,
43,,10.0,,,,
44,,,,,10.0,
45,19.0,,,,,
46,,,,,10.0,
47,,,,,,23.0
48,9.0,,,,,
49,,,,,,13.0
