,ZERO_started_ZERO_won,UCT_3000_started_ZERO_won,ZERO_started_Tie,UCT_3000_started_Tie,ZERO_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,12.0,
1,,,,,,17.0
2,,,,,,13.0
3,,,,,10.0,
4,,,,,10.0,
5,15.0,,,,,
6,,,,,38.0,
7,,,,,22.0,
8,,,,,18.0,
9,,,,,12.0,
10,11.0,,,,,
11,,,,,,13.0
12,,,,,,11.0
13,15.0,,,,,
14,11.0,,,,,
15,,,,,,11.0
16,,,,,54.0,
17,9.0,,,,,
18,,,,,,11.0
19,,,,,,13.0
20,,,,,,9.0
21,,,,,,11.0
22,,,,,,9.0
23,,,,,38.0,
24,,,,,22.0,
25,21.0,,,,,
26,,,,,,13.0
27,,,,,,15.0
28,,12.0,,,,
29,,,,,,9.0
30,,,,,,33.0
31,,,,,12.0,
32,,,,,16.0,
33,13.0,,,,,
34,9.0,,,,,
35,,,,,,17.0
36,,,,,36.0,
37,25.0,,,,,
38,,,,,,27.0
39,,,,,,11.0
40,,,,,10.0,
41,17.0,,,,,
42,,,,,,11.0
43,,14.0,,,,
44,,10.0,,,,
45,,,,,16.0,
46,,,,,,17.0
47,13.0,,,,,
48,,,,,,17.0
49,31.0,,,,,
