,FLAT_v3_started_FLAT_v3_won,ZEROX_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZEROX_v3_started_Tie,FLAT_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,13.0
1,,,,,,23.0
2,,,,,,13.0
3,,,,,10.0,
4,,,,,10.0,
5,,,,,,13.0
6,,,,,,17.0
7,,,,,16.0,
8,,,,,,17.0
9,,,,,,15.0
10,,,,,34.0,
11,,,,,18.0,
12,,,,,16.0,
13,,,,,16.0,
14,,,,,,13.0
15,,,,,12.0,
16,13.0,,,,,
17,,,,,12.0,
18,19.0,,,,,
19,,,,,26.0,
20,,,,,,15.0
21,,,,,14.0,
22,,,,,34.0,
23,,,,,,15.0
24,,,,,,25.0
25,11.0,,,,,
26,,,,,56.0,
27,,,,,24.0,
28,,,,,10.0,
29,,,,,,11.0
30,,,,,,23.0
31,,,,,14.0,
32,,,,,14.0,
33,,,,,22.0,
34,,,,,14.0,
35,,,,,14.0,
36,,,,,,27.0
37,,,,,,31.0
38,,,,,,15.0
39,,,,,18.0,
40,,,,,,13.0
41,,,,,,13.0
42,,,,,,13.0
43,,,,,12.0,
44,,,,,,19.0
45,,,,,,11.0
46,,,,,12.0,
47,,,,,16.0,
48,,,,,12.0,
49,,,,,,21.0
