,ZEROX_v1_started_ZEROX_v1_won,UCT_1500_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_1500_started_Tie,ZEROX_v1_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,13.0,,,,,
1,9.0,,,,,
2,,18.0,,,,
3,11.0,,,,,
4,,,,,10.0,
5,,,,,,9.0
6,15.0,,,,,
7,,,,,,21.0
8,,,,,,35.0
9,,,,,,51.0
10,13.0,,,,,
11,37.0,,,,,
12,,,,,16.0,
13,11.0,,,,,
14,,16.0,,,,
15,,,,,,25.0
16,,,,,,11.0
17,9.0,,,,,
18,,,,,,15.0
19,,10.0,,,,
20,13.0,,,,,
21,,,,,,9.0
22,9.0,,,,,
23,15.0,,,,,
24,13.0,,,,,
25,,20.0,,,,
26,,,,,,9.0
27,,,,,,19.0
28,,,,,,15.0
29,,14.0,,,,
30,9.0,,,,,
31,,,,,,27.0
32,,,,,,31.0
33,,,,,,17.0
34,,,,,,19.0
35,11.0,,,,,
36,11.0,,,,,
37,,12.0,,,,
38,,12.0,,,,
39,,,,,,11.0
40,,,,,,17.0
41,,,,,,25.0
42,,22.0,,,,
43,17.0,,,,,
44,,22.0,,,,
45,,10.0,,,,
46,9.0,,,,,
47,9.0,,,,,
48,,28.0,,,,
49,,,,,,21.0
