,FLAT_v3_started_FLAT_v3_won,UCT_1500_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_1500_started_Tie,FLAT_v3_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,9.0,,,,,
1,,12.0,,,,
2,9.0,,,,,
3,,10.0,,,,
4,9.0,,,,,
5,,20.0,,,,
6,9.0,,,,,
7,,18.0,,,,
8,,12.0,,,,
9,9.0,,,,,
10,9.0,,,,,
11,9.0,,,,,
12,,14.0,,,,
13,9.0,,,,,
14,,,,,,29.0
15,,12.0,,,,
16,9.0,,,,,
17,,10.0,,,,
18,9.0,,,,,
19,,,,,,9.0
20,,14.0,,,,
21,9.0,,,,,
22,,,,,,19.0
23,,,,,22.0,
24,,,,,,23.0
25,,12.0,,,,
26,,10.0,,,,
27,15.0,,,,,
28,9.0,,,,,
29,17.0,,,,,
30,,,,,,15.0
31,,12.0,,,,
32,25.0,,,,,
33,11.0,,,,,
34,,12.0,,,,
35,,,,,,17.0
36,15.0,,,,,
37,9.0,,,,,
38,15.0,,,,,
39,9.0,,,,,
40,,,,,,11.0
41,,24.0,,,,
42,,10.0,,,,
43,,,,,14.0,
44,9.0,,,,,
45,17.0,,,,,
46,,,,,30.0,
47,,,,,,21.0
48,15.0,,,,,
49,9.0,,,,,
