,ZERO_v4_started_ZERO_v4_won,ZEROX_v4_started_ZERO_v4_won,ZERO_v4_started_Tie,ZEROX_v4_started_Tie,ZERO_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,17.0
1,,,,,16.0,
2,,,,,,13.0
3,37.0,,,,,
4,21.0,,,,,
5,19.0,,,,,
6,,,64.0,,,
7,,,,,32.0,
8,19.0,,,,,
9,,,,,,11.0
10,,,,,,13.0
11,,,,,,23.0
12,15.0,,,,,
13,21.0,,,,,
14,,,,,18.0,
15,,,,,22.0,
16,,,,,,59.0
17,,,64.0,,,
18,,,64.0,,,
19,,,,,12.0,
20,,,,,,21.0
21,,,,,24.0,
22,,,,,18.0,
23,43.0,,,,,
24,,,,,,13.0
25,,,,,,17.0
26,63.0,,,,,
27,27.0,,,,,
28,,,,64.0,,
29,,16.0,,,,
30,,16.0,,,,
31,13.0,,,,,
32,,18.0,,,,
33,,,,,,21.0
34,,,,,24.0,
35,,24.0,,,,
36,,,,,,49.0
37,,,,,,15.0
38,27.0,,,,,
39,,,,,,11.0
40,,12.0,,,,
41,,20.0,,,,
42,23.0,,,,,
43,,26.0,,,,
44,,,,64.0,,
45,,26.0,,,,
46,,,,,24.0,
47,25.0,,,,,
48,17.0,,,,,
49,,,,,12.0,
