,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v5_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v5_started_Tie,ZEROX_v2_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,15.0
1,,,,,12.0,
2,,,,,,9.0
3,,,,64.0,,
4,,,,,,9.0
5,,,,,10.0,
6,,,,,,13.0
7,,,,,10.0,
8,,,,,14.0,
9,,,,,24.0,
10,,,,,22.0,
11,,,,,,15.0
12,,,,,,23.0
13,,,,,22.0,
14,,,,,,9.0
15,41.0,,,,,
16,,,,,,17.0
17,,,,,,11.0
18,,,,,,13.0
19,25.0,,,,,
20,,,,,,23.0
21,,,,,16.0,
22,,,,,16.0,
23,,,,,18.0,
24,,,,,,19.0
25,,,,,14.0,
26,,,,,,9.0
27,,,,,,13.0
28,,,,,,11.0
29,,22.0,,,,
30,,,,,,9.0
31,,,,,20.0,
32,,,,,,15.0
33,,,,,22.0,
34,,,,,,11.0
35,,,,,34.0,
36,,,,,,9.0
37,,,,,12.0,
38,,,,64.0,,
39,,,,,,9.0
40,,,,,,17.0
41,,34.0,,,,
42,,,,,10.0,
43,37.0,,,,,
44,,,,,,9.0
45,,,,,22.0,
46,,,,,14.0,
47,,,,,24.0,
48,,,,,,21.0
49,,,,,14.0,
