,ZERO_v3_started_ZERO_v3_won,UCT_6000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_6000_started_Tie,ZERO_v3_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,38.0,
1,,,,,52.0,
2,,,,,30.0,
3,,,,,26.0,
4,,,,,48.0,
5,,,,,,31.0
6,11.0,,,,,
7,11.0,,,,,
8,,,,,26.0,
9,11.0,,,,,
10,,,,,26.0,
11,29.0,,,,,
12,11.0,,,,,
13,,,,,,31.0
14,,12.0,,,,
15,,,,,46.0,
16,,,,,,23.0
17,,,,,20.0,
18,,,,,,47.0
19,,,,,44.0,
20,,,,,,27.0
21,,,,,36.0,
22,,,,,,23.0
23,15.0,,,,,
24,23.0,,,,,
25,,10.0,,,,
26,,,64.0,,,
27,17.0,,,,,
28,11.0,,,,,
29,11.0,,,,,
30,,,,,28.0,
31,,,,,,29.0
32,9.0,,,,,
33,,,,,42.0,
34,,,64.0,,,
35,,,,,28.0,
36,15.0,,,,,
37,9.0,,,,,
38,17.0,,,,,
39,13.0,,,,,
40,,,,,,23.0
41,,,,,,19.0
42,,12.0,,,,
43,,,,,,19.0
44,,,,,14.0,
45,9.0,,,,,
46,11.0,,,,,
47,,,,,,15.0
48,9.0,,,,,
49,,10.0,,,,
