,FLAT_v3_started_FLAT_v3_won,UCT_3000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_3000_started_Tie,FLAT_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,9.0,,,,,
1,,12.0,,,,
2,9.0,,,,,
3,,10.0,,,,
4,,,,,20.0,
5,,10.0,,,,
6,,,,,40.0,
7,,,,,,11.0
8,9.0,,,,,
9,,22.0,,,,
10,9.0,,,,,
11,9.0,,,,,
12,,,,,,15.0
13,,,,,30.0,
14,21.0,,,,,
15,,10.0,,,,
16,,,,,14.0,
17,,,,,,9.0
18,,,,,,23.0
19,15.0,,,,,
20,9.0,,,,,
21,,,,,,11.0
22,,,,,26.0,
23,,,,,20.0,
24,,,,,,9.0
25,9.0,,,,,
26,,,,,,9.0
27,13.0,,,,,
28,9.0,,,,,
29,17.0,,,,,
30,,,,,,21.0
31,,,,,,19.0
32,,,,,,11.0
33,,,,,,11.0
34,,,,,,31.0
35,,,,,40.0,
36,,10.0,,,,
37,,,,,,25.0
38,,20.0,,,,
39,,,,,,15.0
40,9.0,,,,,
41,15.0,,,,,
42,,,,,,23.0
43,,,,,18.0,
44,11.0,,,,,
45,,,,,22.0,
46,,,,,,17.0
47,9.0,,,,,
48,9.0,,,,,
49,,,,,,15.0
