,ZEROX_v2_started_ZEROX_v2_won,UCT_1500_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_1500_started_Tie,ZEROX_v2_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,16.0,,,,
1,,,,,,19.0
2,,10.0,,,,
3,13.0,,,,,
4,9.0,,,,,
5,,12.0,,,,
6,19.0,,,,,
7,,,,,,39.0
8,,20.0,,,,
9,,,,,10.0,
10,,,,,,41.0
11,,10.0,,,,
12,9.0,,,,,
13,,,,,,25.0
14,,,,,12.0,
15,,12.0,,,,
16,,10.0,,,,
17,15.0,,,,,
18,,10.0,,,,
19,,,,,,21.0
20,19.0,,,,,
21,,,,,24.0,
22,,,,,16.0,
23,,,,,,11.0
24,11.0,,,,,
25,,,,,,21.0
26,9.0,,,,,
27,15.0,,,,,
28,,,,,14.0,
29,,14.0,,,,
30,,14.0,,,,
31,,,,,12.0,
32,,12.0,,,,
33,13.0,,,,,
34,,40.0,,,,
35,,,,,,23.0
36,,10.0,,,,
37,,10.0,,,,
38,,12.0,,,,
39,,,,,,15.0
40,9.0,,,,,
41,9.0,,,,,
42,,,,,,23.0
43,,12.0,,,,
44,,,,,40.0,
45,,16.0,,,,
46,,10.0,,,,
47,13.0,,,,,
48,,,,,,21.0
49,9.0,,,,,
