,ZERO_v3_started_ZERO_v3_won,ZERO_v4_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v4_started_Tie,ZERO_v3_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,24.0,
1,,,,,,15.0
2,33.0,,,,,
3,,,,,10.0,
4,17.0,,,,,
5,,,,,,27.0
6,37.0,,,,,
7,,,,,,21.0
8,,26.0,,,,
9,,,,,,23.0
10,,,,,,19.0
11,,,64.0,,,
12,,,64.0,,,
13,,,,,,51.0
14,,,,,48.0,
15,,,,,,11.0
16,,,,,,13.0
17,,34.0,,,,
18,,,64.0,,,
19,19.0,,,,,
20,,,64.0,,,
21,,,64.0,,,
22,,,,,10.0,
23,,,,,,39.0
24,,,64.0,,,
25,,,,,,27.0
26,,,,,,15.0
27,,,,,,21.0
28,,,,,32.0,
29,17.0,,,,,
30,19.0,,,,,
31,,,,,38.0,
32,31.0,,,,,
33,,,,,36.0,
34,,,,64.0,,
35,,,,64.0,,
36,21.0,,,,,
37,,,,,10.0,
38,,,,,,15.0
39,,,,64.0,,
40,,,64.0,,,
41,,,64.0,,,
42,,,,,,15.0
43,,,,,,23.0
44,,,,,26.0,
45,,,,,24.0,
46,,,64.0,,,
47,39.0,,,,,
48,,,64.0,,,
49,,,64.0,,,
