,ZERO_v5_started_ZERO_v5_won,UCT_6000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_6000_started_Tie,ZERO_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,39.0
1,,10.0,,,,
2,,16.0,,,,
3,9.0,,,,,
4,,,,,28.0,
5,,12.0,,,,
6,,,,,,31.0
7,,,,,18.0,
8,,,,,48.0,
9,17.0,,,,,
10,17.0,,,,,
11,9.0,,,,,
12,,,,,22.0,
13,,,,,26.0,
14,,,,,,23.0
15,,,,,,17.0
16,,,,,,15.0
17,,,,,,25.0
18,,,,,,9.0
19,9.0,,,,,
20,,,,,30.0,
21,9.0,,,,,
22,,,,,,23.0
23,,,,,,31.0
24,9.0,,,,,
25,,,,,,31.0
26,,,,,22.0,
27,11.0,,,,,
28,,,,,,15.0
29,,,,,,41.0
30,,,,,38.0,
31,,,,,,27.0
32,,14.0,,,,
33,,,,,,21.0
34,,,,,36.0,
35,,,,,36.0,
36,,,,,42.0,
37,,,,,,29.0
38,,24.0,,,,
39,,,,,42.0,
40,,,,,,27.0
41,,16.0,,,,
42,23.0,,,,,
43,,10.0,,,,
44,,,,,24.0,
45,,,,,,27.0
46,,,,,,25.0
47,,,,,32.0,
48,,,,,32.0,
49,,,,,26.0,
