,ZERO_v3_started_ZERO_v3_won,UCT_3000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_3000_started_Tie,ZERO_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,21.0
1,,,64.0,,,
2,,14.0,,,,
3,,16.0,,,,
4,,,,,,29.0
5,,,,,,23.0
6,9.0,,,,,
7,,,,,28.0,
8,19.0,,,,,
9,,12.0,,,,
10,,,,,,25.0
11,,10.0,,,,
12,,,,,,11.0
13,9.0,,,,,
14,,12.0,,,,
15,,10.0,,,,
16,9.0,,,,,
17,9.0,,,,,
18,,12.0,,,,
19,,10.0,,,,
20,15.0,,,,,
21,,,,,,15.0
22,9.0,,,,,
23,11.0,,,,,
24,17.0,,,,,
25,9.0,,,,,
26,9.0,,,,,
27,15.0,,,,,
28,,,,,,19.0
29,9.0,,,,,
30,37.0,,,,,
31,,10.0,,,,
32,9.0,,,,,
33,,,,,,29.0
34,,,64.0,,,
35,15.0,,,,,
36,,10.0,,,,
37,,,,,36.0,
38,9.0,,,,,
39,,,,,,25.0
40,,,,,,27.0
41,,16.0,,,,
42,,12.0,,,,
43,,,,,54.0,
44,,,,,,19.0
45,,,,,,35.0
46,9.0,,,,,
47,,,,,,27.0
48,,,,,,29.0
49,,12.0,,,,
