,FLAT_v4_started_FLAT_v4_won,UCT_3000_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_3000_started_Tie,FLAT_v4_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,33.0
1,,,,,,23.0
2,,,,,22.0,
3,,16.0,,,,
4,,14.0,,,,
5,,,,,14.0,
6,,,,,22.0,
7,,,,,,25.0
8,,,,,28.0,
9,,10.0,,,,
10,,,,,,21.0
11,23.0,,,,,
12,,10.0,,,,
13,,,,,,23.0
14,9.0,,,,,
15,,20.0,,,,
16,9.0,,,,,
17,,22.0,,,,
18,,,,,22.0,
19,,,,,,27.0
20,15.0,,,,,
21,,10.0,,,,
22,9.0,,,,,
23,,,,,,21.0
24,9.0,,,,,
25,,,,,,21.0
26,13.0,,,,,
27,,,,,,17.0
28,9.0,,,,,
29,,12.0,,,,
30,,,,,26.0,
31,,10.0,,,,
32,,,,,42.0,
33,11.0,,,,,
34,13.0,,,,,
35,9.0,,,,,
36,,,,,32.0,
37,,,,,,29.0
38,,,,,14.0,
39,17.0,,,,,
40,9.0,,,,,
41,,,,,,17.0
42,,,,,,33.0
43,,,,,,19.0
44,13.0,,,,,
45,9.0,,,,,
46,,,,,12.0,
47,,,,,,15.0
48,15.0,,,,,
49,,,,,,15.0
