,FLAT_v1_started_FLAT_v1_won,FLAT_v5_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v5_started_Tie,FLAT_v1_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,,9.0
1,11.0,,,,,
2,,,,,,11.0
3,,,,,,9.0
4,,,,,,11.0
5,,,,,12.0,
6,,,,,,11.0
7,,14.0,,,,
8,,,,,14.0,
9,,,,,14.0,
10,15.0,,,,,
11,,,,,,9.0
12,,,,,,11.0
13,,,,,,11.0
14,15.0,,,,,
15,11.0,,,,,
16,,,,,10.0,
17,,12.0,,,,
18,,,,,,11.0
19,,,,,,9.0
20,,,,,,13.0
21,,,,,14.0,
22,9.0,,,,,
23,,,,,,11.0
24,,,,,,21.0
25,,,,,14.0,
26,,,,,10.0,
27,,,,,,11.0
28,,,,,,9.0
29,,,,,,9.0
30,,,,,14.0,
31,17.0,,,,,
32,13.0,,,,,
33,13.0,,,,,
34,,10.0,,,,
35,,,,,,11.0
36,,,,,12.0,
37,,,,,,9.0
38,,,,,14.0,
39,,,,,,9.0
40,,,,,12.0,
41,,,,,,13.0
42,,,,,10.0,
43,,,,,16.0,
44,,,,,,13.0
45,,,,,14.0,
46,,,,,,11.0
47,,,,,14.0,
48,,,,,,9.0
49,,,,,10.0,
