,FLAT_v5_started_FLAT_v5_won,ZERO_v5_started_FLAT_v5_won,FLAT_v5_started_Tie,ZERO_v5_started_Tie,FLAT_v5_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,14.0,
1,,,,,22.0,
2,,,,,16.0,
3,,,,,20.0,
4,,,,,,43.0
5,,,,,,27.0
6,,,,,22.0,
7,,,,,16.0,
8,,,,,,21.0
9,,,,,22.0,
10,,,,,12.0,
11,,,,,,19.0
12,,,,,10.0,
13,,,,,32.0,
14,,,,,12.0,
15,,,,,14.0,
16,,,,,16.0,
17,17.0,,,,,
18,,,,,,9.0
19,,,,,,11.0
20,,,,,,9.0
21,,,,,,19.0
22,,,,,14.0,
23,,,,,,21.0
24,,,,,,11.0
25,,,,,,11.0
26,,,,,16.0,
27,,,,,16.0,
28,,,,,,31.0
29,,,,,16.0,
30,,,,,12.0,
31,,,,,12.0,
32,,,,,,11.0
33,,,,,10.0,
34,,,,,22.0,
35,,,,,,15.0
36,,,,,16.0,
37,,,,,,33.0
38,,,,64.0,,
39,13.0,,,,,
40,,,,,20.0,
41,,,,,10.0,
42,,,,,26.0,
43,,,,,18.0,
44,,,,,,17.0
45,,,,,20.0,
46,,,,,22.0,
47,,,,,,35.0
48,,,,,,19.0
49,,,,,,11.0
