,ZERO_v1_started_ZERO_v1_won,ZEROX_v1_started_ZERO_v1_won,ZERO_v1_started_Tie,ZEROX_v1_started_Tie,ZERO_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,16.0,,,,
1,,20.0,,,,
2,,,,,,19.0
3,23.0,,,,,
4,21.0,,,,,
5,,,,,36.0,
6,,,,,24.0,
7,,,,,18.0,
8,11.0,,,,,
9,,,,,,9.0
10,,,,,18.0,
11,,,,,28.0,
12,19.0,,,,,
13,,,,,,15.0
14,,14.0,,,,
15,,,,,18.0,
16,,22.0,,,,
17,,,,,16.0,
18,,,,,,11.0
19,,,,,18.0,
20,,,,,20.0,
21,,,,,,17.0
22,29.0,,,,,
23,,,,,18.0,
24,25.0,,,,,
25,,,,,,15.0
26,,18.0,,,,
27,,,,,,13.0
28,,18.0,,,,
29,,,,,22.0,
30,,10.0,,,,
31,,,,,,23.0
32,,,,,,35.0
33,9.0,,,,,
34,,26.0,,,,
35,21.0,,,,,
36,,,,,,13.0
37,,,,,36.0,
38,9.0,,,,,
39,13.0,,,,,
40,25.0,,,,,
41,,,,,20.0,
42,,,,,,11.0
43,,,,,,23.0
44,,,,,18.0,
45,,,,,20.0,
46,13.0,,,,,
47,,,,,22.0,
48,,14.0,,,,
49,,,,,,11.0
