,ZEROX_v4_started_ZEROX_v4_won,UCT_4500_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_4500_started_Tie,ZEROX_v4_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,16.0,,,,
1,,,,,,23.0
2,,28.0,,,,
3,,,,,,33.0
4,11.0,,,,,
5,,,,,,37.0
6,17.0,,,,,
7,,,64.0,,,
8,,,64.0,,,
9,,,,,,21.0
10,,,,,,23.0
11,,,,,30.0,
12,,,,,14.0,
13,,,,,,35.0
14,,,,,,31.0
15,,16.0,,,,
16,,,,,32.0,
17,,,,64.0,,
18,,18.0,,,,
19,,,,,,25.0
20,13.0,,,,,
21,,,,64.0,,
22,13.0,,,,,
23,,10.0,,,,
24,11.0,,,,,
25,,,64.0,,,
26,19.0,,,,,
27,,,,,34.0,
28,17.0,,,,,
29,,,,,18.0,
30,,,,,,39.0
31,,,,,,21.0
32,,,,,44.0,
33,,,,,,21.0
34,,,,,,37.0
35,,,,,38.0,
36,,,,,,17.0
37,17.0,,,,,
38,,,,,,49.0
39,,,,,,29.0
40,,10.0,,,,
41,15.0,,,,,
42,,,,,36.0,
43,17.0,,,,,
44,,,,,,29.0
45,15.0,,,,,
46,11.0,,,,,
47,,,64.0,,,
48,,,,64.0,,
49,,10.0,,,,
