,ZERO_v5_started_ZERO_v5_won,UCT_4500_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_4500_started_Tie,ZERO_v5_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,17.0
1,,,,,,25.0
2,,,,,42.0,
3,,16.0,,,,
4,,,,,,31.0
5,,,,,,25.0
6,,,,,18.0,
7,,16.0,,,,
8,,,,64.0,,
9,,,,,,23.0
10,,,,,48.0,
11,,10.0,,,,
12,,,,,,23.0
13,13.0,,,,,
14,,,,,26.0,
15,,,,,,33.0
16,,,,,,39.0
17,15.0,,,,,
18,,20.0,,,,
19,,,,64.0,,
20,,,,,,21.0
21,15.0,,,,,
22,,,64.0,,,
23,,,,,,45.0
24,,,,,26.0,
25,,,,,28.0,
26,,10.0,,,,
27,,,,,,17.0
28,,,,,,35.0
29,,,,,40.0,
30,,10.0,,,,
31,,,,,,15.0
32,,10.0,,,,
33,,,,,16.0,
34,9.0,,,,,
35,,,,,42.0,
36,,,,,46.0,
37,9.0,,,,,
38,,,,,,23.0
39,,,,,36.0,
40,9.0,,,,,
41,,,,,,23.0
42,9.0,,,,,
43,,,64.0,,,
44,,,,,,21.0
45,,,,,24.0,
46,,,,,36.0,
47,,14.0,,,,
48,,12.0,,,,
49,,,,,,31.0
