,ZERO_v1_started_ZERO_v1_won,ZERO_v2_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v2_started_Tie,ZERO_v1_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,16.0,,,,
1,,,,,,9.0
2,,,,,14.0,
3,,,,,22.0,
4,,,,,,15.0
5,15.0,,,,,
6,,,,,32.0,
7,,,,,18.0,
8,,24.0,,,,
9,,22.0,,,,
10,,,,,10.0,
11,,,,,18.0,
12,29.0,,,,,
13,,,,,,13.0
14,,16.0,,,,
15,,,,,,19.0
16,23.0,,,,,
17,,28.0,,,,
18,11.0,,,,,
19,15.0,,,,,
20,,,,,24.0,
21,,,,,34.0,
22,,22.0,,,,
23,,,,,,9.0
24,,22.0,,,,
25,33.0,,,,,
26,,,64.0,,,
27,,,64.0,,,
28,,,,,,17.0
29,,,,,,15.0
30,,,,,,19.0
31,,32.0,,,,
32,,,,,,25.0
33,,,,,20.0,
34,,44.0,,,,
35,,12.0,,,,
36,,,64.0,,,
37,15.0,,,,,
38,,,,,18.0,
39,,,,,,13.0
40,,16.0,,,,
41,,,64.0,,,
42,,,,,10.0,
43,,,,,,13.0
44,,,,,26.0,
45,,,,,,15.0
46,,,,,36.0,
47,,,,,24.0,
48,,,,,,13.0
49,,,,,,13.0
