,FLAT_v1_started_FLAT_v1_won,FLAT_v2_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v2_started_Tie,FLAT_v1_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,,,64.0,,,
1,,,,,,11.0
2,,,,,,13.0
3,,12.0,,,,
4,,,,,,11.0
5,,,,,,27.0
6,,,,,,11.0
7,,,,,16.0,
8,15.0,,,,,
9,13.0,,,,,
10,,,,,,11.0
11,,,,,46.0,
12,,22.0,,,,
13,,,,,,15.0
14,,,,,,11.0
15,,,,,,15.0
16,15.0,,,,,
17,,,,,,11.0
18,,,,,,9.0
19,43.0,,,,,
20,,,,,28.0,
21,,,,,18.0,
22,,16.0,,,,
23,,,,,,11.0
24,,,,,,11.0
25,,,,,,11.0
26,,,,,,9.0
27,19.0,,,,,
28,,,,,24.0,
29,,,,,12.0,
30,,,,,24.0,
31,19.0,,,,,
32,,,,,,15.0
33,,,,,,11.0
34,19.0,,,,,
35,,30.0,,,,
36,,20.0,,,,
37,,,,,30.0,
38,,,,,,15.0
39,,12.0,,,,
40,15.0,,,,,
41,,,,,,11.0
42,,,,,10.0,
43,,,,,12.0,
44,,,,,,11.0
45,,,,,,11.0
46,,,,,10.0,
47,,,,,,17.0
48,,24.0,,,,
49,,,,,32.0,
