,FLAT_v3_started_FLAT_v3_won,FLAT_v5_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v5_started_Tie,FLAT_v3_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,22.0,
1,,,,,,11.0
2,11.0,,,,,
3,9.0,,,,,
4,,,,,26.0,
5,15.0,,,,,
6,,,,,,9.0
7,,,,,14.0,
8,,,,,,15.0
9,,,,,,9.0
10,,,,,,11.0
11,,12.0,,,,
12,,,,,,11.0
13,,,,,,11.0
14,,18.0,,,,
15,,14.0,,,,
16,,,,,,9.0
17,,,,,,11.0
18,,,,,,9.0
19,,,,,,11.0
20,,,,,,11.0
21,11.0,,,,,
22,,,,,,9.0
23,,,,,12.0,
24,,,,,18.0,
25,,,,,,17.0
26,,,,,18.0,
27,45.0,,,,,
28,,,,,24.0,
29,,12.0,,,,
30,,,,,,9.0
31,,18.0,,,,
32,,,,,12.0,
33,,,,,,9.0
34,,,,,,15.0
35,,,,,34.0,
36,,,,,,11.0
37,,,,,,17.0
38,,,,,,13.0
39,,,,,,11.0
40,19.0,,,,,
41,,12.0,,,,
42,,20.0,,,,
43,19.0,,,,,
44,,,,,14.0,
45,,,,,14.0,
46,,,,,,11.0
47,,,,,18.0,
48,,,,,,11.0
49,13.0,,,,,
