,FLAT_v2_started_FLAT_v2_won,FLAT_v4_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v4_started_Tie,FLAT_v2_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,14.0,
1,,,,,14.0,
2,,,,,10.0,
3,,,,,,29.0
4,,,,,,17.0
5,,,,,14.0,
6,,,,,14.0,
7,15.0,,,,,
8,,,,,,23.0
9,,,,,14.0,
10,,,,,12.0,
11,11.0,,,,,
12,,,,,12.0,
13,,,,64.0,,
14,,,,,16.0,
15,,,,,,17.0
16,,,,,,15.0
17,13.0,,,,,
18,,,,,,15.0
19,,,,,20.0,
20,,,,,16.0,
21,,,,,,15.0
22,,,,,12.0,
23,,,,,14.0,
24,,,,,,15.0
25,,,,,10.0,
26,,,,,,13.0
27,,,,,,11.0
28,,,,,,11.0
29,,,,,12.0,
30,,,,,,13.0
31,,,,,,11.0
32,23.0,,,,,
33,,,,64.0,,
34,,,,,,11.0
35,,12.0,,,,
36,,,,,,11.0
37,,,,,12.0,
38,,14.0,,,,
39,,,,,12.0,
40,,,,,,15.0
41,,,,,12.0,
42,,,,,,9.0
43,,,,,,11.0
44,,,,,,15.0
45,,,,,,37.0
46,,,,,,15.0
47,,14.0,,,,
48,,,,,12.0,
49,,,,,10.0,
