,FLAT_v3_started_FLAT_v3_won,ZERO_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZERO_v3_started_Tie,FLAT_v3_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,21.0,,,,,
1,31.0,,,,,
2,,,,,18.0,
3,,,,,16.0,
4,,,,,10.0,
5,,,,,,33.0
6,,,,,,15.0
7,,,,,,15.0
8,,,,,,23.0
9,,,,,,11.0
10,,,,,16.0,
11,,,,,,11.0
12,,,,,12.0,
13,,,,,,15.0
14,,,,,20.0,
15,,,,,18.0,
16,,,,,,17.0
17,,,,,,15.0
18,,,,,14.0,
19,,,,,,11.0
20,,,,,,15.0
21,,,,,10.0,
22,,,,,,15.0
23,,,,,12.0,
24,,,,,,11.0
25,,,,,,19.0
26,,,,,,13.0
27,,,,,20.0,
28,,,,,,29.0
29,,,,,20.0,
30,,,,,,27.0
31,,16.0,,,,
32,,,,,20.0,
33,,,,,,13.0
34,,,,,40.0,
35,,,,,10.0,
36,,,,,10.0,
37,,,,,,25.0
38,,,,,,39.0
39,,,,,,11.0
40,,,,,,11.0
41,,,,,,23.0
42,,,64.0,,,
43,,,,,12.0,
44,,,,,,17.0
45,,,,,18.0,
46,,,,,,13.0
47,,,,,28.0,
48,,,,,10.0,
49,11.0,,,,,
