,ZEROX_v1_started_ZEROX_v1_won,UCT_3000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_3000_started_Tie,ZEROX_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,10.0,
1,,,,,,9.0
2,,,,,14.0,
3,,,,,,15.0
4,11.0,,,,,
5,9.0,,,,,
6,,,,,,27.0
7,,,,,,9.0
8,,,,,,47.0
9,,,,,14.0,
10,13.0,,,,,
11,,,,,14.0,
12,11.0,,,,,
13,15.0,,,,,
14,,12.0,,,,
15,17.0,,,,,
16,,14.0,,,,
17,13.0,,,,,
18,,,,,,11.0
19,9.0,,,,,
20,11.0,,,,,
21,,14.0,,,,
22,,,,,14.0,
23,,,,,,17.0
24,,,,,,11.0
25,,,,,16.0,
26,,,,,,29.0
27,,,,,,19.0
28,,,,,,21.0
29,,,,,18.0,
30,,,,,20.0,
31,17.0,,,,,
32,,,,,,23.0
33,,,,,,11.0
34,11.0,,,,,
35,,,,,14.0,
36,,,,,,9.0
37,,,,,18.0,
38,,,,,,15.0
39,,,,,20.0,
40,,14.0,,,,
41,,,,,,17.0
42,,,,,18.0,
43,,18.0,,,,
44,,,,,46.0,
45,,,,,,13.0
46,,,,,18.0,
47,,,,,,13.0
48,,,,,14.0,
49,,,,,,15.0
