,ZERO_v5_started_ZERO_v5_won,UCT_1500_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_1500_started_Tie,ZERO_v5_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,14.0,,,,
1,,10.0,,,,
2,,10.0,,,,
3,9.0,,,,,
4,,10.0,,,,
5,,18.0,,,,
6,9.0,,,,,
7,,,,,30.0,
8,,,,,,31.0
9,,,,,,49.0
10,,10.0,,,,
11,,12.0,,,,
12,,,64.0,,,
13,,10.0,,,,
14,,,,,20.0,
15,11.0,,,,,
16,,18.0,,,,
17,15.0,,,,,
18,9.0,,,,,
19,9.0,,,,,
20,9.0,,,,,
21,15.0,,,,,
22,9.0,,,,,
23,9.0,,,,,
24,,,64.0,,,
25,11.0,,,,,
26,,10.0,,,,
27,9.0,,,,,
28,,12.0,,,,
29,,14.0,,,,
30,,10.0,,,,
31,,14.0,,,,
32,,12.0,,,,
33,,22.0,,,,
34,,,,64.0,,
35,17.0,,,,,
36,19.0,,,,,
37,17.0,,,,,
38,,12.0,,,,
39,,16.0,,,,
40,,28.0,,,,
41,,24.0,,,,
42,,22.0,,,,
43,,10.0,,,,
44,,10.0,,,,
45,,18.0,,,,
46,,10.0,,,,
47,,,,,38.0,
48,9.0,,,,,
49,,,,,34.0,
