,ZEROX_v5_started_ZEROX_v5_won,UCT_4500_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_4500_started_Tie,ZEROX_v5_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,21.0,,,,,
1,15.0,,,,,
2,,,,,,41.0
3,,10.0,,,,
4,,,,,42.0,
5,,12.0,,,,
6,15.0,,,,,
7,,,,,30.0,
8,,,,,34.0,
9,,,,,,15.0
10,,,,,,27.0
11,17.0,,,,,
12,,,,,16.0,
13,,,64.0,,,
14,,,,,,43.0
15,,,,,,27.0
16,,,,,,33.0
17,,,,,,21.0
18,9.0,,,,,
19,,14.0,,,,
20,9.0,,,,,
21,,,,,,51.0
22,,,,,,23.0
23,,18.0,,,,
24,,,,,,25.0
25,11.0,,,,,
26,,,,,34.0,
27,23.0,,,,,
28,15.0,,,,,
29,,,,,38.0,
30,,,,,,55.0
31,9.0,,,,,
32,,,,,,25.0
33,,14.0,,,,
34,,,,,36.0,
35,,12.0,,,,
36,,10.0,,,,
37,9.0,,,,,
38,,,,,40.0,
39,,,64.0,,,
40,,,64.0,,,
41,,,64.0,,,
42,,,,,,27.0
43,17.0,,,,,
44,,,,,,15.0
45,9.0,,,,,
46,23.0,,,,,
47,,,,,,31.0
48,,,,,36.0,
49,,,64.0,,,
