,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v3_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v3_started_Tie,ZEROX_v2_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,14.0,
1,,,,,12.0,
2,,,,,18.0,
3,,,,,12.0,
4,,,,,12.0,
5,,,,,,13.0
6,,,,,12.0,
7,,,,,,19.0
8,,,,,,13.0
9,,,,,14.0,
10,,,,,,19.0
11,,,,64.0,,
12,,,,,,9.0
13,,,,,12.0,
14,,,,,14.0,
15,,,,,,11.0
16,,,,,12.0,
17,,,,,14.0,
18,,,,,14.0,
19,,,,,28.0,
20,,,,,,17.0
21,33.0,,,,,
22,,,,,12.0,
23,,,,,12.0,
24,,,,,12.0,
25,,,,,26.0,
26,,,,,,19.0
27,,,,,12.0,
28,,,,,,33.0
29,,,,,18.0,
30,,,,,20.0,
31,,,,,12.0,
32,,,,,10.0,
33,,,,,12.0,
34,,,,,,39.0
35,,,,,,13.0
36,,,,,14.0,
37,,,,,,11.0
38,,,,64.0,,
39,,,,,,11.0
40,,,,,18.0,
41,,,,,,17.0
42,,,,,22.0,
43,,,,,,17.0
44,,44.0,,,,
45,,,,,10.0,
46,,,,,14.0,
47,,,,64.0,,
48,,,,,12.0,
49,,,,,,11.0
