,FLAT_v4_started_FLAT_v4_won,UCT_6000_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_6000_started_Tie,FLAT_v4_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,9.0,,,,,
1,,10.0,,,,
2,,,,,,37.0
3,,,,,34.0,
4,9.0,,,,,
5,,,,,16.0,
6,,10.0,,,,
7,,,,,,23.0
8,,,,,32.0,
9,,,,,40.0,
10,,,,,42.0,
11,,,,,,17.0
12,,,,,16.0,
13,,,,,,13.0
14,,,,,30.0,
15,17.0,,,,,
16,,,,,38.0,
17,,,,,,15.0
18,,12.0,,,,
19,9.0,,,,,
20,,,,,,27.0
21,21.0,,,,,
22,,,,,,15.0
23,,,,,40.0,
24,,,,,,19.0
25,,12.0,,,,
26,,,,,,25.0
27,,,,,,23.0
28,11.0,,,,,
29,,,,,32.0,
30,,,,,20.0,
31,,,,,,21.0
32,,16.0,,,,
33,9.0,,,,,
34,,,,,16.0,
35,,12.0,,,,
36,13.0,,,,,
37,,,,,,23.0
38,,,,,12.0,
39,,,,,,17.0
40,,,,,18.0,
41,,,,,,25.0
42,,10.0,,,,
43,,10.0,,,,
44,,,,,42.0,
45,,,,,30.0,
46,,,,,,13.0
47,,,,,24.0,
48,,,,,18.0,
49,,16.0,,,,
