,ZERO_v2_started_ZERO_v2_won,UCT_3000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_3000_started_Tie,ZERO_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,10.0,
1,,,,,16.0,
2,17.0,,,,,
3,9.0,,,,,
4,,,,,18.0,
5,,,,,,21.0
6,,,,,,11.0
7,,,,,10.0,
8,,,,,,41.0
9,9.0,,,,,
10,,,,,22.0,
11,,10.0,,,,
12,9.0,,,,,
13,,,,,12.0,
14,,10.0,,,,
15,9.0,,,,,
16,,,,,10.0,
17,9.0,,,,,
18,11.0,,,,,
19,,,,,20.0,
20,,,,,28.0,
21,,,,,,25.0
22,,,,,22.0,
23,,18.0,,,,
24,,,,,18.0,
25,,,,,,17.0
26,,,,,,19.0
27,,,,,,13.0
28,,,,,22.0,
29,,12.0,,,,
30,,,,,12.0,
31,13.0,,,,,
32,17.0,,,,,
33,,,,,10.0,
34,,12.0,,,,
35,,,,,28.0,
36,,12.0,,,,
37,15.0,,,,,
38,,12.0,,,,
39,,,,,30.0,
40,,,,,14.0,
41,,,,64.0,,
42,,10.0,,,,
43,9.0,,,,,
44,,12.0,,,,
45,,,,,,41.0
46,11.0,,,,,
47,,16.0,,,,
48,,14.0,,,,
49,,,,,,17.0
