,FLAT_v1_started_FLAT_v1_won,UCT_3000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_3000_started_Tie,FLAT_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,14.0,
1,,14.0,,,,
2,,,,,,13.0
3,,,,,,11.0
4,,,,,,9.0
5,,,,,14.0,
6,,,,,24.0,
7,11.0,,,,,
8,,,,,,15.0
9,,,,,,17.0
10,,,,,,11.0
11,,,,,16.0,
12,15.0,,,,,
13,,,,,10.0,
14,,,,,,11.0
15,,,,,32.0,
16,,,,,,15.0
17,,,,,12.0,
18,,,,,,9.0
19,9.0,,,,,
20,,,,,26.0,
21,,,,,,11.0
22,9.0,,,,,
23,9.0,,,,,
24,13.0,,,,,
25,,,,,,13.0
26,,,,,,19.0
27,,,,,36.0,
28,,,,,,19.0
29,,,,,,9.0
30,,,,,10.0,
31,,,,,,21.0
32,11.0,,,,,
33,,,,,,15.0
34,,,,,,11.0
35,,,,,,15.0
36,,,,,10.0,
37,9.0,,,,,
38,9.0,,,,,
39,11.0,,,,,
40,,,,,,17.0
41,,14.0,,,,
42,9.0,,,,,
43,,,,,,9.0
44,15.0,,,,,
45,,,,,,13.0
46,,,,,,9.0
47,,,,,,11.0
48,,,,,18.0,
49,,,,,,11.0
