,ZERO_v2_started_ZERO_v2_won,ZERO_v5_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v5_started_Tie,ZERO_v2_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,12.0,
1,,,,,,11.0
2,21.0,,,,,
3,,,,,,9.0
4,15.0,,,,,
5,,,,,10.0,
6,,,,,10.0,
7,,,,,14.0,
8,,,,,16.0,
9,,,,,10.0,
10,,,,,16.0,
11,,,64.0,,,
12,,,,,10.0,
13,,,,,,15.0
14,,,,,14.0,
15,,,,,,23.0
16,,,,,12.0,
17,,,,,,11.0
18,,,,,18.0,
19,,,,,16.0,
20,,,,,,11.0
21,,,,,12.0,
22,,,,,,9.0
23,,,,,,11.0
24,,36.0,,,,
25,,,,,12.0,
26,,,,,,11.0
27,,,,,,19.0
28,,,,,,9.0
29,,,,,,11.0
30,41.0,,,,,
31,,,,,,9.0
32,,,,,,31.0
33,,,,,14.0,
34,,,,,12.0,
35,,,,,,15.0
36,,,,,,11.0
37,,,,,14.0,
38,,,,,18.0,
39,,,,,20.0,
40,,,,,12.0,
41,,,,,22.0,
42,,,,,14.0,
43,,,,,10.0,
44,,,,,22.0,
45,,,,,,9.0
46,,,,,26.0,
47,,,,,16.0,
48,,,,,12.0,
49,,,,,,11.0
