,ZERO_v3_started_ZERO_v3_won,UCT_4500_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_4500_started_Tie,ZERO_v3_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,17.0,,,,,
1,,12.0,,,,
2,,,,,,35.0
3,15.0,,,,,
4,15.0,,,,,
5,,10.0,,,,
6,21.0,,,,,
7,,,,,,43.0
8,,,,,,29.0
9,,12.0,,,,
10,,20.0,,,,
11,31.0,,,,,
12,11.0,,,,,
13,9.0,,,,,
14,15.0,,,,,
15,9.0,,,,,
16,,10.0,,,,
17,,26.0,,,,
18,,12.0,,,,
19,23.0,,,,,
20,,,,,,25.0
21,,,,,,23.0
22,,,,,44.0,
23,,,,,,15.0
24,9.0,,,,,
25,,10.0,,,,
26,9.0,,,,,
27,,10.0,,,,
28,,,,,,13.0
29,17.0,,,,,
30,,18.0,,,,
31,,,,,,29.0
32,,,,,34.0,
33,,14.0,,,,
34,9.0,,,,,
35,,,,,,27.0
36,,,,,,17.0
37,,14.0,,,,
38,,,,,26.0,
39,9.0,,,,,
40,,,,,18.0,
41,15.0,,,,,
42,,,,64.0,,
43,9.0,,,,,
44,,12.0,,,,
45,,,,,32.0,
46,,,,,,31.0
47,29.0,,,,,
48,,,64.0,,,
49,,,,,,17.0
