,ZERO_v2_started_ZERO_v2_won,ZERO_v3_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v3_started_Tie,ZERO_v2_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,64.0,,
1,,,,,,11.0
2,,,,,,17.0
3,,,,,16.0,
4,,,,64.0,,
5,,,,,12.0,
6,,,,,12.0,
7,,,,,12.0,
8,,,,,,13.0
9,,,,,12.0,
10,,,,,16.0,
11,,,,,16.0,
12,,,,,,15.0
13,,,,,,13.0
14,,,,,,13.0
15,,,,,10.0,
16,,,,,14.0,
17,,,,,20.0,
18,,,,64.0,,
19,,,,,14.0,
20,,,,,12.0,
21,11.0,,,,,
22,,,,64.0,,
23,13.0,,,,,
24,,,,,14.0,
25,,,,,14.0,
26,,,,,10.0,
27,,,,,,11.0
28,,,,,,17.0
29,,,,,12.0,
30,,,,,,9.0
31,,,,,16.0,
32,,,,,14.0,
33,,,,,,11.0
34,,,,,16.0,
35,,,,,,11.0
36,,,,,10.0,
37,,,,,,17.0
38,,,,,,35.0
39,,,,,,23.0
40,,,,,,11.0
41,,,,,,17.0
42,,,,64.0,,
43,,,,,,13.0
44,,,,,22.0,
45,,,,,12.0,
46,,,,,,11.0
47,,,,,14.0,
48,,,,,12.0,
49,,,,,18.0,
