,Flat_started_Flat_won,UCT3_started_Flat_won,Flat_started_Tie,UCT3_started_Tie,Flat_started_UCT3_won,UCT3_started_UCT3_won
0,15.0,,,,,
1,,,,,,21.0
2,19.0,,,,,
3,,,,,,45.0
4,21.0,,,,,
5,,,,,16.0,
6,17.0,,,,,
7,,,,,,23.0
8,,30.0,,,,
9,,16.0,,,,
