,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2.8739001750946045,2.7887580394744873,2.6663458347320557,2.469125747680664,2.440011739730835,2.307421922683716,2.15250301361084,2.091708183288574,0.7542269229888916,,,,,,,,,,,,,,,,,,,,,,,
1,2.7958059310913086,2.699165105819702,2.5403292179107666,2.4504919052124023,2.3661539554595947,2.348910093307495,2.107023000717163,2.1553337574005127,1.828510046005249,1.8927197456359863,0.46890807151794434,,,,,,,,,,,,,,,,,,,,,
2,2.8855199813842773,2.9430129528045654,2.6682400703430176,2.5248730182647705,2.2396390438079834,2.354539155960083,2.1466081142425537,2.004915952682495,2.0240259170532227,1.7946717739105225,0.5715048313140869,,,,,,,,,,,,,,,,,,,,,
3,2.970536947250366,2.7329139709472656,2.4807932376861572,2.473626136779785,2.2366020679473877,2.3732540607452393,2.1878697872161865,2.228823184967041,2.096027135848999,1.9620048999786377,2.049339771270752,2.0495219230651855,1.7825291156768799,1.8538870811462402,1.4880411624908447,0.6608998775482178,,,,,,,,,,,,,,,,
4,2.918905019760132,2.802347183227539,2.661558151245117,2.481398105621338,2.381268262863159,2.2833430767059326,2.228034257888794,2.035107135772705,2.045583963394165,0.5102736949920654,,,,,,,,,,,,,,,,,,,,,,
5,2.812384843826294,2.6897940635681152,2.496792793273926,2.5854849815368652,2.221024990081787,2.4078290462493896,2.0630910396575928,2.1709601879119873,2.1077051162719727,2.003477096557617,0.5179250240325928,,,,,,,,,,,,,,,,,,,,,
6,2.9247560501098633,2.843032121658325,2.7417941093444824,2.5031538009643555,2.142396926879883,2.2525980472564697,1.7356719970703125,0.6330521106719971,,,,,,,,,,,,,,,,,,,,,,,,
7,2.8636200428009033,2.8158979415893555,2.658989191055298,2.4822709560394287,2.0595109462738037,0.5662877559661865,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.8823533058166504,2.7003681659698486,2.5324628353118896,2.5396320819854736,2.367480993270874,2.023386240005493,1.7890992164611816,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.943871021270752,2.7718498706817627,2.3794288635253906,2.044961929321289,0.46116089820861816,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.9282937049865723,2.5899770259857178,2.8157029151916504,2.34670090675354,1.850646734237671,0.5604639053344727,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.0451231002807617,2.6038219928741455,2.7724597454071045,2.301086902618408,2.0939159393310547,2.2687501907348633,2.240586042404175,1.9689819812774658,2.0137619972229004,1.8895869255065918,1.723794937133789,1.9913041591644287,1.7963340282440186,1.307276725769043,0.5219800472259521,,,,,,,,,,,,,,,,,
2,2.92846417427063,2.8654119968414307,2.715463876724243,2.4276020526885986,2.266170024871826,1.9706532955169678,0.467134952545166,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.8910939693450928,2.5273869037628174,2.5037412643432617,2.639450788497925,2.208461046218872,2.4088077545166016,2.136137008666992,2.040625810623169,2.0422041416168213,1.9613606929779053,1.6066458225250244,1.634187936782837,1.7195141315460205,1.4497909545898438,1.6586358547210693,1.5827770233154297,1.3610718250274658,1.5064959526062012,1.2391200065612793,0.9866869449615479,0.7436327934265137,,,,,,,,,,,
4,2.884748697280884,2.8234140872955322,2.7195141315460205,2.555842161178589,2.19222092628479,2.0418128967285156,2.1514692306518555,1.419801950454712,,,,,,,,,,,,,,,,,,,,,,,,
5,2.8842720985412598,2.7633919715881348,2.6758131980895996,2.30533504486084,2.4105730056762695,2.132157325744629,2.156938076019287,2.0118892192840576,2.0702719688415527,2.0635628700256348,1.9977781772613525,1.577794075012207,1.3758270740509033,1.1082298755645752,,,,,,,,,,,,,,,,,,
6,2.844954252243042,2.5682501792907715,2.4031028747558594,2.1642260551452637,0.4865438938140869,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.812588930130005,2.7460238933563232,2.6205267906188965,2.4783010482788086,2.188915967941284,1.7370398044586182,0.45282721519470215,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.9328951835632324,2.5373950004577637,2.4385018348693848,2.5529820919036865,2.3108561038970947,1.9658868312835693,2.239246129989624,2.002366065979004,1.6272361278533936,,,,,,,,,,,,,,,,,,,,,,,
9,2.934702157974243,2.8530502319335938,2.6909899711608887,2.569110870361328,2.566230058670044,2.1013779640197754,2.1366918087005615,2.1662909984588623,2.1273388862609863,2.1161139011383057,2.0837550163269043,1.7555689811706543,1.5759081840515137,0.9500501155853271,1.5631141662597656,1.710860013961792,1.381579875946045,1.6270458698272705,1.3182199001312256,1.4079177379608154,1.1261610984802246,1.202796220779419,0.9956459999084473,0.9279358386993408,1.0467958450317383,0.7891068458557129,0.7083191871643066,0.63149094581604,0.560391902923584,0.47469282150268555,0.4015200138092041,0.32843899726867676
0,2.8589582443237305,2.7711970806121826,2.524523973464966,2.5634989738464355,1.9236640930175781,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.859975814819336,2.829133987426758,2.584280252456665,2.49342679977417,2.4723713397979736,2.425504207611084,1.6893439292907715,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.7871789932250977,2.594968795776367,2.536875009536743,2.6806108951568604,2.4729859828948975,2.1964428424835205,2.250803232192993,1.6933577060699463,,,,,,,,,,,,,,,,,,,,,,,,
3,2.8913912773132324,2.7871267795562744,2.5809640884399414,1.8485310077667236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0416481494903564,2.6310551166534424,2.808067798614502,2.2247719764709473,1.9484307765960693,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.847506046295166,2.7771310806274414,2.6247661113739014,2.5576560497283936,2.436677932739258,2.253754138946533,2.1401658058166504,2.1284351348876953,1.8588800430297852,2.0384490489959717,2.0059328079223633,1.8673348426818848,1.713465929031372,1.8387532234191895,1.499298095703125,1.6440958976745605,1.172050952911377,0.7279701232910156,,,,,,,,,,,,,,
6,2.8443281650543213,2.7473978996276855,2.631704092025757,2.2877111434936523,2.1597392559051514,2.457545042037964,2.3212709426879883,2.3283231258392334,1.880805253982544,1.76556396484375,1.9169981479644775,1.681283950805664,1.3694558143615723,0.4845719337463379,,,,,,,,,,,,,,,,,,
