,Zero_started_Zero_won,UCT6_started_Zero_won,Zero_started_Tie,UCT6_started_Tie,Zero_started_UCT6_won,UCT6_started_UCT6_won
0,11.0,,,,,
1,,14.0,,,,
2,,,,,,15.0
3,,14.0,,,,
4,7.0,,,,,
5,,,,,,11.0
6,,14.0,,,,
7,,,,,,17.0
8,9.0,,,,,
9,7.0,,,,,
