,FLAT_started_FLAT_won,UCT_2000_started_FLAT_won,FLAT_started_Tie,UCT_2000_started_Tie,FLAT_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,8.0,,,,
1,,,,,,17.0
2,,14.0,,,,
3,,8.0,,,,
4,,14.0,,,,
5,,12.0,,,,
6,,,,,,13.0
7,7.0,,,,,
8,,10.0,,,,
9,7.0,,,,,
10,,,,,,11.0
11,7.0,,,,,
12,,8.0,,,,
13,11.0,,,,,
14,,8.0,,,,
15,7.0,,,,,
16,7.0,,,,,
17,7.0,,,,,
18,7.0,,,,,
19,7.0,,,,,
20,9.0,,,,,
21,,8.0,,,,
22,9.0,,,,,
23,7.0,,,,,
24,,,,,,17.0
25,,8.0,,,,
26,,,,,,7.0
27,,14.0,,,,
28,11.0,,,,,
29,7.0,,,,,
30,,,,,,9.0
31,,8.0,,,,
32,9.0,,,,,
33,,,,,16.0,
34,,8.0,,,,
35,,8.0,,,,
36,7.0,,,,,
37,7.0,,,,,
38,7.0,,,,,
39,9.0,,,,,
40,,14.0,,,,
41,9.0,,,,,
42,7.0,,,,,
43,,8.0,,,,
44,,,,,,9.0
45,,10.0,,,,
46,9.0,,,,,
47,,,,,,17.0
48,,,,,,11.0
49,,14.0,,,,
