,FLAT_v2_started_FLAT_v2_won,UCT_5000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_5000_started_Tie,FLAT_v2_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,7.0,,,,,
1,7.0,,,,,
2,,12.0,,,,
3,7.0,,,,,
4,11.0,,,,,
5,7.0,,,,,
6,11.0,,,,,
7,7.0,,,,,
8,7.0,,,,,
9,,,,,,17.0
10,,10.0,,,,
11,,,,,,9.0
12,11.0,,,,,
13,,,,,,9.0
14,,,,,,11.0
15,7.0,,,,,
16,,,,,,17.0
17,11.0,,,,,
18,11.0,,,,,
19,7.0,,,,,
20,11.0,,,,,
21,7.0,,,,,
22,11.0,,,,,
23,7.0,,,,,
24,7.0,,,,,
25,11.0,,,,,
26,9.0,,,,,
27,,14.0,,,,
28,11.0,,,,,
29,15.0,,,,,
30,,,,,,13.0
31,19.0,,,,,
32,,,,,,9.0
33,,14.0,,,,
34,,,,,,13.0
35,,12.0,,,,
36,11.0,,,,,
37,,,,,,13.0
38,,14.0,,,,
39,,,,,,9.0
40,,14.0,,,,
41,,,,,,21.0
42,11.0,,,,,
43,,,,,,25.0
44,,,,,,17.0
45,,,,,,21.0
46,,12.0,,,,
47,,,,,,9.0
48,11.0,,,,,
49,,14.0,,,,
