,ZERO_v3_started_ZERO_v3_won,UCT_3000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_3000_started_Tie,ZERO_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,9.0,,,,,
2,11.0,,,,,
3,9.0,,,,,
4,,,,,,15.0
5,11.0,,,,,
6,9.0,,,,,
7,7.0,,,,,
8,13.0,,,,,
9,,,,,,13.0
10,,,,,,11.0
11,,8.0,,,,
12,,,,,,9.0
13,7.0,,,,,
14,,,,,,9.0
15,,12.0,,,,
16,,10.0,,,,
17,7.0,,,,,
18,,8.0,,,,
19,,,,,,27.0
20,,12.0,,,,
21,7.0,,,,,
22,,,,,,13.0
23,,,,,,15.0
24,7.0,,,,,
25,,,,,,9.0
26,7.0,,,,,
27,,,,,,11.0
28,7.0,,,,,
29,,,36.0,,,
30,,18.0,,,,
31,,8.0,,,,
32,7.0,,,,,
33,11.0,,,,,
34,13.0,,,,,
35,,12.0,,,,
36,7.0,,,,,
37,,12.0,,,,
38,,,,,,15.0
39,,,,,,11.0
40,7.0,,,,,
41,,,,,,15.0
42,,,,,,11.0
43,,,,,,9.0
44,,,,,,15.0
45,7.0,,,,,
46,,14.0,,,,
47,11.0,,,,,
48,11.0,,,,,
49,,,,,,17.0
