,ZERO_v2_started_ZERO_v2_won,UCT_5000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_5000_started_Tie,ZERO_v2_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,,19.0
1,9.0,,,,,
2,,,,,,13.0
3,,,,,,17.0
4,7.0,,,,,
5,,,,,,11.0
6,11.0,,,,,
7,9.0,,,,,
8,7.0,,,,,
9,7.0,,,,,
10,7.0,,,,,
11,11.0,,,,,
12,,14.0,,,,
13,,,,,,11.0
14,,14.0,,,,
15,11.0,,,,,
16,7.0,,,,,
17,,,,,,11.0
18,7.0,,,,,
19,,18.0,,,,
20,7.0,,,,,
21,,,,,,11.0
22,,,,,,9.0
23,,,,,,9.0
24,7.0,,,,,
25,11.0,,,,,
26,7.0,,,,,
27,9.0,,,,,
28,7.0,,,,,
29,,,,,,11.0
30,9.0,,,,,
31,,10.0,,,,
32,,,,,,17.0
33,,12.0,,,,
34,11.0,,,,,
35,,,,,,9.0
36,,14.0,,,,
37,11.0,,,,,
38,,,,,,11.0
39,,10.0,,,,
40,,14.0,,,,
41,7.0,,,,,
42,7.0,,,,,
43,7.0,,,,,
44,,12.0,,,,
45,,,,,,11.0
46,19.0,,,,,
47,7.0,,,,,
48,11.0,,,,,
49,11.0,,,,,
