,ZERO_v1_started_ZERO_v1_won,UCT_4000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_4000_started_Tie,ZERO_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,14.0,
1,11.0,,,,,
2,,14.0,,,,
3,,,,,,17.0
4,11.0,,,,,
5,15.0,,,,,
6,,,,,,7.0
7,,,,,14.0,
8,11.0,,,,,
9,7.0,,,,,
10,,,,,,7.0
11,,,,,,7.0
12,,,,,,7.0
13,13.0,,,,,
14,,,,,14.0,
15,11.0,,,,,
16,11.0,,,,,
17,,14.0,,,,
18,,,,,,7.0
19,,,,,,9.0
20,11.0,,,,,
21,,,,,,13.0
22,11.0,,,,,
23,,,,,,7.0
24,,,,,,7.0
25,,,,,10.0,
26,,,,,,11.0
27,11.0,,,,,
28,15.0,,,,,
29,7.0,,,,,
30,,,,,,17.0
31,,,,,,7.0
32,7.0,,,,,
33,,,,,,7.0
34,17.0,,,,,
35,,,,,,11.0
36,7.0,,,,,
37,,8.0,,,,
38,11.0,,,,,
39,,,,,,7.0
40,7.0,,,,,
41,,,,,,7.0
42,,,,,10.0,
43,19.0,,,,,
44,,,,,,7.0
45,,,,,,17.0
46,,,,,,17.0
47,,12.0,,,,
48,,,,,,17.0
49,,,,,,9.0
