,ZEROX_v1_started_ZEROX_v1_won,UCT_4000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_4000_started_Tie,ZEROX_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,11.0,,,,,
1,,,,,,7.0
2,,10.0,,,,
3,,,,,14.0,
4,7.0,,,,,
5,15.0,,,,,
6,,,,,,7.0
7,,,,,,9.0
8,,,,,,7.0
9,,,,,14.0,
10,,,,,,17.0
11,,,,,14.0,
12,7.0,,,,,
13,,,,,,7.0
14,,,,,,7.0
15,,10.0,,,,
16,,14.0,,,,
17,,,,,,7.0
18,,,,,14.0,
19,,,,,,7.0
20,7.0,,,,,
21,15.0,,,,,
22,11.0,,,,,
23,7.0,,,,,
24,,,,,14.0,
25,,,,,,7.0
26,11.0,,,,,
27,,,,,,11.0
28,,,,,,7.0
29,,,,,,7.0
30,7.0,,,,,
31,,,,,14.0,
32,,10.0,,,,
33,,,,,,7.0
34,,,,,,7.0
35,,,,,,17.0
36,,,,,,7.0
37,,,,,,7.0
38,,,,,14.0,
39,,,,,,7.0
40,,,,,,9.0
41,,,,,,7.0
42,11.0,,,,,
43,7.0,,,,,
44,,14.0,,,,
45,,,,,,11.0
46,,,,,14.0,
47,,,,,14.0,
48,11.0,,,,,
49,,,,,14.0,
