,FLAT_v1_started_FLAT_v1_won,ZERO_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZERO_v1_started_Tie,FLAT_v1_started_ZERO_v1_won,ZERO_v1_started_ZERO_v1_won
0,,,,,,9.0
1,,,,,,11.0
2,,,,,,11.0
3,,,,,,7.0
4,,,,,12.0,
5,,,,,14.0,
6,,,,,8.0,
7,,,,,,11.0
8,,,,,,9.0
9,,,,,,9.0
10,,,,,,11.0
11,,,,,18.0,
12,,,,36.0,,
13,,,,,,13.0
14,,,,,,13.0
15,,,,,,11.0
16,,,,,12.0,
17,,,,,,7.0
18,,10.0,,,,
19,,12.0,,,,
20,,,36.0,,,
21,,,,,14.0,
22,,,,,10.0,
23,,,,,,15.0
24,,,,,8.0,
25,,,,,,11.0
26,,,,,14.0,
27,,,,,16.0,
28,17.0,,,,,
29,,,,,,11.0
30,,,,,,19.0
31,,,,,,7.0
32,,,,,,9.0
33,,,,,32.0,
34,23.0,,,,,
35,,,,,,11.0
36,,,,,10.0,
37,,,,,,15.0
38,,,,,,15.0
39,,,,,,11.0
40,,,,,,13.0
41,,,,,,9.0
42,,,,,,13.0
43,,,,,8.0,
44,,,,,,15.0
45,11.0,,,,,
46,,,,,,9.0
47,,,,,,11.0
48,,,,,10.0,
49,,,,,,17.0
