,FLAT_v3_started_FLAT_v3_won,FLAT_v3_started_Tie
0,9.0,
1,,
2,9.0,
3,,
4,,
5,9.0,
6,11.0,
7,,
8,11.0,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,11.0,
17,,
18,7.0,
19,,
20,,
21,9.0,
22,,
23,,
24,,
25,7.0,
26,9.0,
27,,
28,,
29,9.0,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,9.0,
42,7.0,
43,27.0,
44,9.0,
45,,
46,,
47,7.0,
48,11.0,
49,9.0,
