,ZERO_v1_started_ZERO_v1_won,UCT_3000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_3000_started_Tie,ZERO_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,11.0
1,11.0,,,,,
2,15.0,,,,,
3,,8.0,,,,
4,,,,,,7.0
5,,,,,20.0,
6,,,,,,7.0
7,,,,,,9.0
8,,,,,,17.0
9,,,,,,13.0
10,9.0,,,,,
11,,10.0,,,,
12,,,,,,11.0
13,11.0,,,,,
14,,,,,,17.0
15,11.0,,,,,
16,,,,,,7.0
17,11.0,,,,,
18,7.0,,,,,
19,,8.0,,,,
20,,,,,,7.0
21,11.0,,,,,
22,,,,,14.0,
23,,,,,,7.0
24,,,,,,9.0
25,11.0,,,,,
26,,14.0,,,,
27,,,,,,11.0
28,,,,,,7.0
29,,8.0,,,,
30,7.0,,,,,
31,7.0,,,,,
32,7.0,,,,,
33,,,,,10.0,
34,11.0,,,,,
35,,,,,,7.0
36,7.0,,,,,
37,,8.0,,,,
38,,14.0,,,,
39,,,,,14.0,
40,,,,,14.0,
41,,,,,,9.0
42,,,,,,7.0
43,7.0,,,,,
44,,,,,,7.0
45,,,,,10.0,
46,,,,,14.0,
47,,,,,,17.0
48,,,,,,11.0
49,,8.0,,,,
