,ZERO_v1_started_ZERO_v1_won,ZERO_v1_started_Tie
0,15.0,
1,19.0,
2,,
3,9.0,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,9.0,
17,31.0,
18,,
19,31.0,
20,,
21,,
22,,
23,,
24,11.0,
25,15.0,
26,7.0,
27,,
28,,
29,,
30,,
31,13.0,
32,,36.0
33,13.0,
34,,
35,17.0,
36,,
37,9.0,
38,,
39,,
40,,36.0
41,,
42,,
43,,
44,,
45,,
46,,
47,11.0,
48,7.0,
49,19.0,
