,ZERO_v1_started_ZERO_v1_won,ZERO_v3_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v3_started_Tie,ZERO_v1_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,,29.0
1,19.0,,,,,
2,,,,,12.0,
3,,,,,16.0,
4,,,,,,9.0
5,,,,,,19.0
6,,,,,,9.0
7,,,,,,11.0
8,11.0,,,,,
9,,,,,,9.0
10,,,,,12.0,
11,9.0,,,,,
12,11.0,,,,,
13,,,,,,7.0
14,,,,,,9.0
15,,,,,,7.0
16,,,,36.0,,
17,13.0,,,,,
18,13.0,,,,,
19,,,,,,9.0
20,13.0,,,,,
21,,,,,,11.0
22,,,,,8.0,
23,15.0,,,,,
24,,,,,,11.0
25,,,36.0,,,
26,19.0,,,,,
27,13.0,,,,,
28,,,,,,9.0
29,,,,,,9.0
30,,,,,,9.0
31,,,,,12.0,
32,11.0,,,,,
33,,,,,,7.0
34,,,,,,9.0
35,,,,,10.0,
36,,,,,10.0,
37,,,,,,9.0
38,,,,,10.0,
39,,,,,,9.0
40,,,,,,7.0
41,,,,,,9.0
42,,,,36.0,,
43,11.0,,,,,
44,,,,,,7.0
45,,,,,,9.0
46,,,,,,7.0
47,,,,,,11.0
48,,,,,,7.0
49,,,,,8.0,
