,ZERO_v3_started_ZERO_v3_won,UCT_4000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_4000_started_Tie,ZERO_v3_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,15.0
1,,,,,,9.0
2,,,,,,11.0
3,,12.0,,,,
4,,14.0,,,,
5,,,,,,13.0
6,7.0,,,,,
7,7.0,,,,,
8,7.0,,,,,
9,,,,,,15.0
10,,,,,,17.0
11,7.0,,,,,
12,11.0,,,,,
13,,,,,,9.0
14,9.0,,,,,
15,7.0,,,,,
16,,10.0,,,,
17,,,,,,9.0
18,,,,,,17.0
19,,,,,,15.0
20,11.0,,,,,
21,7.0,,,,,
22,,12.0,,,,
23,,,,,,11.0
24,,10.0,,,,
25,,10.0,,,,
26,,,,,,9.0
27,,,,,,11.0
28,,,,,,11.0
29,9.0,,,,,
30,7.0,,,,,
31,,12.0,,,,
32,7.0,,,,,
33,9.0,,,,,
34,11.0,,,,,
35,,10.0,,,,
36,,,,,,17.0
37,11.0,,,,,
38,7.0,,,,,
39,,,,,,11.0
40,,,,,,9.0
41,,,,,,11.0
42,7.0,,,,,
43,11.0,,,,,
44,7.0,,,,,
45,,,,,,11.0
46,,14.0,,,,
47,11.0,,,,,
48,,10.0,,,,
49,7.0,,,,,
