,ZEROX_v1_started_ZEROX_v1_won,UCT_5000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_5000_started_Tie,ZEROX_v1_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,,11.0
1,11.0,,,,,
2,,,,,,7.0
3,11.0,,,,,
4,,,,,14.0,
5,17.0,,,,,
6,7.0,,,,,
7,15.0,,,,,
8,,14.0,,,,
9,11.0,,,,,
10,7.0,,,,,
11,,8.0,,,,
12,,,,,,7.0
13,17.0,,,,,
14,,10.0,,,,
15,,,,,,7.0
16,11.0,,,,,
17,11.0,,,,,
18,,,,,,7.0
19,11.0,,,,,
20,,,,,,7.0
21,,14.0,,,,
22,11.0,,,,,
23,,,,,,17.0
24,,,,,,7.0
25,,,,,,7.0
26,,,,,,7.0
27,17.0,,,,,
28,,,,,14.0,
29,,14.0,,,,
30,,,,,,7.0
31,,,,,,7.0
32,,14.0,,,,
33,,,,,,7.0
34,,,,,,7.0
35,9.0,,,,,
36,,,,,14.0,
37,,14.0,,,,
38,7.0,,,,,
39,11.0,,,,,
40,,,,,,7.0
41,,,,,,7.0
42,,,,,14.0,
43,,,,,,7.0
44,,,,,,7.0
45,11.0,,,,,
46,,,,,14.0,
47,,,,,,7.0
48,,,,,10.0,
49,,,,,20.0,
