,ZERO_v1_started_ZERO_v1_won,ZERO_v2_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v2_started_Tie,ZERO_v1_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,,13.0
1,,,,,,15.0
2,13.0,,,,,
3,13.0,,,,,
4,,,,,,9.0
5,9.0,,,,,
6,11.0,,,,,
7,,,,,,11.0
8,,,,,,7.0
9,,8.0,,,,
10,9.0,,,,,
11,,,,,14.0,
12,,,,,,7.0
13,,,,,,7.0
14,13.0,,,,,
15,,,,,,7.0
16,,,,,,9.0
17,,,,,14.0,
18,,,,,,7.0
19,,,,,,9.0
20,,,,,,9.0
21,,,,,10.0,
22,,,,,,7.0
23,,,,,,7.0
24,,,,,18.0,
25,,,,,,9.0
26,9.0,,,,,
27,,,,,,7.0
28,,,,,,9.0
29,,,,,,9.0
30,,8.0,,,,
31,,10.0,,,,
32,,,,,,11.0
33,11.0,,,,,
34,,,,,,9.0
35,13.0,,,,,
36,,10.0,,,,
37,9.0,,,,,
38,13.0,,,,,
39,17.0,,,,,
40,19.0,,,,,
41,17.0,,,,,
42,,,,,16.0,
43,,,,,,11.0
44,,,,,12.0,
45,,,,,12.0,
46,9.0,,,,,
47,,,,,,7.0
48,,,,,,7.0
49,,8.0,,,,
