,ZERO_v2_started_ZERO_v2_won,UCT_4000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_4000_started_Tie,ZERO_v2_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,14.0,,,,
1,,,,,,11.0
2,,12.0,,,,
3,7.0,,,,,
4,,12.0,,,,
5,9.0,,,,,
6,,14.0,,,,
7,,,,,,11.0
8,,,,,,13.0
9,,,,,,13.0
10,7.0,,,,,
11,,,,,,13.0
12,,,,,,9.0
13,,,,,,13.0
14,,14.0,,,,
15,,,,,,13.0
16,11.0,,,,,
17,11.0,,,,,
18,9.0,,,,,
19,,10.0,,,,
20,7.0,,,,,
21,,14.0,,,,
22,11.0,,,,,
23,,14.0,,,,
24,,,,,,19.0
25,,14.0,,,,
26,7.0,,,,,
27,,10.0,,,,
28,11.0,,,,,
29,,10.0,,,,
30,,10.0,,,,
31,,,,,,13.0
32,,,,,,9.0
33,7.0,,,,,
34,11.0,,,,,
35,,,,,,17.0
36,9.0,,,,,
37,,,,,,17.0
38,9.0,,,,,
39,,,,,,11.0
40,7.0,,,,,
41,,14.0,,,,
42,,,,,18.0,
43,,10.0,,,,
44,,14.0,,,,
45,7.0,,,,,
46,7.0,,,,,
47,7.0,,,,,
48,7.0,,,,,
49,7.0,,,,,
