,ZEROX_v2_started_ZEROX_v2_won,UCT_5000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_5000_started_Tie,ZEROX_v2_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,,17.0
1,,,,,,11.0
2,7.0,,,,,
3,11.0,,,,,
4,,14.0,,,,
5,,12.0,,,,
6,7.0,,,,,
7,7.0,,,,,
8,,,,,,11.0
9,7.0,,,,,
10,,,,36.0,,
11,11.0,,,,,
12,7.0,,,,,
13,,,,,,11.0
14,9.0,,,,,
15,9.0,,,,,
16,,14.0,,,,
17,7.0,,,,,
18,7.0,,,,,
19,11.0,,,,,
20,7.0,,,,,
21,7.0,,,,,
22,,,,,,9.0
23,,,,,,9.0
24,,10.0,,,,
25,,,,,,9.0
26,11.0,,,,,
27,7.0,,,,,
28,7.0,,,,,
29,7.0,,,,,
30,7.0,,,,,
31,,,,,,11.0
32,7.0,,,,,
33,7.0,,,,,
34,,14.0,,,,
35,9.0,,,,,
36,11.0,,,,,
37,,8.0,,,,
38,9.0,,,,,
39,,,,,,11.0
40,7.0,,,,,
41,7.0,,,,,
42,11.0,,,,,
43,,,,,,11.0
44,,14.0,,,,
45,,10.0,,,,
46,7.0,,,,,
47,,,,,,13.0
48,11.0,,,,,
49,,,,,,17.0
