,ZERO_v3_started_ZERO_v3_won,UCT_5000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_5000_started_Tie,ZERO_v3_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,7.0,,,,,
1,,,,,,11.0
2,,12.0,,,,
3,7.0,,,,,
4,7.0,,,,,
5,,,,,,17.0
6,7.0,,,,,
7,7.0,,,,,
8,,,,,,11.0
9,7.0,,,,,
10,7.0,,,,,
11,,,,,,17.0
12,7.0,,,,,
13,,,,,,11.0
14,,,,,,13.0
15,11.0,,,,,
16,,,,,,11.0
17,7.0,,,,,
18,,,,,,11.0
19,,,,,,17.0
20,,,,,,9.0
21,7.0,,,,,
22,7.0,,,,,
23,,,,,,13.0
24,,10.0,,,,
25,,14.0,,,,
26,,8.0,,,,
27,7.0,,,,,
28,7.0,,,,,
29,,,,,,17.0
30,7.0,,,,,
31,7.0,,,,,
32,,10.0,,,,
33,,,,,,9.0
34,11.0,,,,,
35,7.0,,,,,
36,11.0,,,,,
37,7.0,,,,,
38,,14.0,,,,
39,11.0,,,,,
40,,10.0,,,,
41,,,,,,11.0
42,7.0,,,,,
43,15.0,,,,,
44,,,,,,17.0
45,11.0,,,,,
46,,,,,,9.0
47,,,,,,11.0
48,9.0,,,,,
49,,10.0,,,,
