,FLAT_v1_started_FLAT_v1_won,UCT_2000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_2000_started_Tie,FLAT_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,8.0,,,,
1,19.0,,,,,
2,7.0,,,,,
3,,,,,,9.0
4,,,,,,7.0
5,7.0,,,,,
6,,,,,,11.0
7,,10.0,,,,
8,,8.0,,,,
9,9.0,,,,,
10,,,,,10.0,
11,11.0,,,,,
12,7.0,,,,,
13,,8.0,,,,
14,,,,,,9.0
15,,10.0,,,,
16,,12.0,,,,
17,,,,,,7.0
18,7.0,,,,,
19,9.0,,,,,
20,7.0,,,,,
21,,16.0,,,,
22,13.0,,,,,
23,15.0,,,,,
24,,,,,,11.0
25,7.0,,,,,
26,,,,,,9.0
27,,,,,14.0,
28,,,,,,9.0
29,,,,,,7.0
30,,,,,,7.0
31,,,,,,9.0
32,,,,,,11.0
33,,,,,,11.0
34,11.0,,,,,
35,9.0,,,,,
36,,,,,,7.0
37,,,,,,9.0
38,9.0,,,,,
39,7.0,,,,,
40,7.0,,,,,
41,,,,,,11.0
42,,,,,,11.0
43,7.0,,,,,
44,,,,,,15.0
45,7.0,,,,,
46,15.0,,,,,
47,7.0,,,,,
48,,,,,,9.0
49,,,,,14.0,
