,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v2_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v2_started_Tie,ZEROX_v1_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,8.0,
1,,,,,,11.0
2,,,,,,9.0
3,13.0,,,,,
4,,,,,22.0,
5,,,,,8.0,
6,,,,,,7.0
7,15.0,,,,,
8,,,,,,9.0
9,,,,,,7.0
10,,,,,18.0,
11,,,,,,7.0
12,,,,,16.0,
13,,,,,,7.0
14,,,,,,7.0
15,,,,,,7.0
16,,,,,10.0,
17,,,,,8.0,
18,,,,,,9.0
19,,,,,,9.0
20,,,,,12.0,
21,,,,,,9.0
22,,12.0,,,,
23,,,,,,9.0
24,,,,,,9.0
25,,,,,10.0,
26,9.0,,,,,
27,,10.0,,,,
28,13.0,,,,,
29,9.0,,,,,
30,,,,,,7.0
31,17.0,,,,,
32,,,,,,7.0
33,,,,,,7.0
34,,,,,,9.0
35,,,,,,9.0
36,,,,,,9.0
37,,,,,,7.0
38,,,,,,9.0
39,,,,,,9.0
40,,,,,10.0,
41,,,,,,9.0
42,,,,,14.0,
43,11.0,,,,,
44,,,,,12.0,
45,,,,,,7.0
46,13.0,,,,,
47,,,36.0,,,
48,,,,,,7.0
49,,,,,12.0,
