,ZEROX_v1_started_ZEROX_v1_won,UCT_2000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_2000_started_Tie,ZEROX_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,,,,,7.0
1,,,,,14.0,
2,,10.0,,,,
3,,12.0,,,,
4,7.0,,,,,
5,11.0,,,,,
6,11.0,,,,,
7,,,,,,7.0
8,,14.0,,,,
9,,,,,14.0,
10,11.0,,,,,
11,,,,,14.0,
12,,8.0,,,,
13,7.0,,,,,
14,7.0,,,,,
15,,8.0,,,,
16,,,36.0,,,
17,,,,,,17.0
18,,,,,,7.0
19,11.0,,,,,
20,,,,,14.0,
21,,,,,,11.0
22,,,,,,25.0
23,11.0,,,,,
24,,,,,,17.0
25,11.0,,,,,
26,,,,,,11.0
27,,,,,12.0,
28,,14.0,,,,
29,13.0,,,,,
30,11.0,,,,,
31,,10.0,,,,
32,,8.0,,,,
33,,,,,,13.0
34,,,,,,7.0
35,,12.0,,,,
36,,,,,,7.0
37,7.0,,,,,
38,,,,,,11.0
39,,8.0,,,,
40,,10.0,,,,
41,7.0,,,,,
42,,,,,,7.0
43,,,36.0,,,
44,,,,,14.0,
45,9.0,,,,,
46,,,,,,9.0
47,11.0,,,,,
48,,,,,14.0,
49,,,,,,7.0
