,ZERO_started_ZERO_won,UCT_2000_started_ZERO_won,ZERO_started_Tie,UCT_2000_started_Tie,ZERO_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,7.0,,,,,
1,,8.0,,,,
2,7.0,,,,,
3,7.0,,,,,
4,7.0,,,,,
5,,8.0,,,,
6,,,,,,9.0
7,7.0,,,,,
8,7.0,,,,,
9,,,,,22.0,
10,7.0,,,,,
11,7.0,,,,,
12,,10.0,,,,
13,,12.0,,,,
14,11.0,,,,,
15,,10.0,,,,
16,11.0,,,,,
17,7.0,,,,,
18,,14.0,,,,
19,,,,,,13.0
20,7.0,,,,,
21,,12.0,,,,
22,11.0,,,,,
23,11.0,,,,,
24,9.0,,,,,
25,,,,,,11.0
26,11.0,,,,,
27,,10.0,,,,
28,,10.0,,,,
29,,8.0,,,,
30,7.0,,,,,
31,7.0,,,,,
32,7.0,,,,,
33,9.0,,,,,
34,,10.0,,,,
35,7.0,,,,,
36,7.0,,,,,
37,7.0,,,,,
38,7.0,,,,,
39,7.0,,,,,
40,,,,,,9.0
41,9.0,,,,,
42,7.0,,,,,
43,,8.0,,,,
44,,,,,,13.0
45,,10.0,,,,
46,,,,,,15.0
47,,12.0,,,,
48,11.0,,,,,
49,7.0,,,,,
