,FLAT_v2_started_FLAT_v2_won,UCT_1000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_1000_started_Tie,FLAT_v2_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,,10.0,,,,
1,9.0,,,,,
2,7.0,,,,,
3,11.0,,,,,
4,9.0,,,,,
5,7.0,,,,,
6,,8.0,,,,
7,7.0,,,,,
8,7.0,,,,,
9,,10.0,,,,
10,7.0,,,,,
11,7.0,,,,,
12,7.0,,,,,
13,,8.0,,,,
14,,8.0,,,,
15,,,,,,9.0
16,,,,,,11.0
17,,10.0,,,,
18,9.0,,,,,
19,,10.0,,,,
20,7.0,,,,,
21,9.0,,,,,
22,,8.0,,,,
23,,,,,,21.0
24,,,,,,13.0
25,7.0,,,,,
26,,8.0,,,,
27,,14.0,,,,
28,,8.0,,,,
29,,8.0,,,,
30,,8.0,,,,
31,,,,,,9.0
32,,8.0,,,,
33,,8.0,,,,
34,7.0,,,,,
35,7.0,,,,,
36,,8.0,,,,
37,,14.0,,,,
38,11.0,,,,,
39,7.0,,,,,
40,,8.0,,,,
41,7.0,,,,,
42,,,,,,7.0
43,,,,,,13.0
44,,10.0,,,,
45,9.0,,,,,
46,7.0,,,,,
47,,,,,,11.0
48,,8.0,,,,
49,7.0,,,,,
