,ZERO_v2_started_ZERO_v2_won,FLAT_v2_started_ZERO_v2_won,ZERO_v2_started_Tie,FLAT_v2_started_Tie,ZERO_v2_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,,10.0,,,,
1,13.0,,,,,
2,9.0,,,,,
3,,,,,,11.0
4,13.0,,,,,
5,9.0,,,,,
6,9.0,,,,,
7,,10.0,,,,
8,,10.0,,,,
9,13.0,,,,,
10,17.0,,,,,
11,,10.0,,,,
12,,,,,,15.0
13,9.0,,,,,
14,15.0,,,,,
15,,,,,,11.0
16,13.0,,,,,
17,,,,,14.0,
18,9.0,,,,,
19,7.0,,,,,
20,9.0,,,,,
21,,,,,,15.0
22,,,,,,7.0
23,11.0,,,,,
24,,,,,10.0,
25,15.0,,,,,
26,17.0,,,,,
27,9.0,,,,,
28,11.0,,,,,
29,,,,,,13.0
30,,,,,,11.0
31,11.0,,,,,
32,,8.0,,,,
33,,,,,,9.0
34,9.0,,,,,
35,9.0,,,,,
36,,,,,,7.0
37,11.0,,,,,
38,,,,,,11.0
39,,,,,10.0,
40,,,,,,11.0
41,17.0,,,,,
42,11.0,,,,,
43,,26.0,,,,
44,,8.0,,,,
45,11.0,,,,,
46,15.0,,,,,
47,,8.0,,,,
48,,14.0,,,,
49,13.0,,,,,
