,ZERO_v1_started_ZERO_v1_won,UCT_5000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_5000_started_Tie,ZERO_v1_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,,17.0
1,,,,,,13.0
2,,,,,,17.0
3,,,,,14.0,
4,,,,,10.0,
5,,,,,,7.0
6,,,,,14.0,
7,,,,,14.0,
8,,,,,,11.0
9,,14.0,,,,
10,,8.0,,,,
11,,,,,,7.0
12,7.0,,,,,
13,11.0,,,,,
14,,,,,,7.0
15,7.0,,,,,
16,,,,,14.0,
17,11.0,,,,,
18,,,,,,21.0
19,11.0,,,,,
20,,14.0,,,,
21,11.0,,,,,
22,,,,,,7.0
23,11.0,,,,,
24,,,,,,11.0
25,15.0,,,,,
26,,,,,,11.0
27,,,,,,7.0
28,,18.0,,,,
29,,,,,,7.0
30,,,,,14.0,
31,,,,,,7.0
32,,,,,14.0,
33,11.0,,,,,
34,,,,,,7.0
35,15.0,,,,,
36,,,,,14.0,
37,,,,,,7.0
38,15.0,,,,,
39,,,,,14.0,
40,,,,,,7.0
41,,,,,10.0,
42,,,,,14.0,
43,,,,,,7.0
44,,,,,,15.0
45,23.0,,,,,
46,15.0,,,,,
47,11.0,,,,,
48,,14.0,,,,
49,11.0,,,,,
